"title","type","event","date","url","abstract","block","category","short_location"
"Convex sets can have interior hot spots","Seminar","University of Edinburgh Analysis Seminar","2025-03-01","https://blogs.ed.ac.uk/analysis/analysis-seminar/","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","U. Edinburgh"
"Convex sets can have interior hot spots","Seminar","Lehigh University Mathematics Seminar","2025-03-17","https://agirouard.mat.ulaval.ca/SpectralClouds/","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","Lehigh University"
"Convex sets can have interior hot spots","Seminar","Institut Camille Jordan Analysis Seminar (Lyon)","2025-03-10","https://indico.math.cnrs.fr/event/12874/","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","ICJ, Lyon"
"Convex sets can have interior hot spots","Workshop","Spectral Geometry in the Clouds","2025-03-17","https://agirouard.mat.ulaval.ca/SpectralClouds/","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","Online"
"The sharp hot spots conjecture: A case study for AI assisted mathematics","Workshop","MPS Workshop on Computation in Mathematics (Flatiron Institute)","2025-02-18","https://www.simonsfoundation.org","","The Hot Spots Conjecture","research","Flatiron Institute"
"Hot Spots Poster","Poster","Simons Collaboration on Localization of Waves Annual Meeting — Poster Session (Flatiron Institute)","2025-02-20","","","The Hot Spots Conjecture","research","Flatiron Institute"
"Convex sets can have interior hot spots","Seminar","Virginia Tech Analysis Seminar","2025-02-25","https://math.vt.edu/seminars/analysis.html","A homogeneous, insulated object with a non-uniform initial temperature will eventually reach thermal equilibrium. The Hot Spots conjecture addresses which point in the object takes the longest to reach this equilibrium: Where is the maximum temperature attained as time progresses? Rauch initially conjectured that points attaining the maximum temperature would approach the boundary for larger times. Burdzy and Werner disproved the conjecture for planar domains with holes. Kawohl, and later Banuelos- Burdzy, conjectured that the conjecture should still hold for convex sets of all dimensions. This talk will draw inspiration from a recurrent theme in convex anal- ysis: almost every dimension-free result in convex analysis has a natural log-concave extension. We will motivate and construct the log-concave ana- log of the Hot Spots conjecture, and then disprove it. Using this log-concave construction, we will show that the hot spots conjecture for convex sets is false in high dimensions.","The Hot Spots Conjecture","research","Virginia Tech"
"On the hot spots conjecture in high dimensions","Seminar","Seminari d'Anàlisi UB-UAB","2025-01-16","https://mat.uab.cat/web/seminarianalisi/","","The Hot Spots Conjecture","research","UB-UAB, Barcelona"
"The hot spots conjecture for log-concave measures","Seminar","ETHZ Analysis Seminar","2024-10-01","https://math.ethz.ch/news-and-events/events/research-seminars/analysis-seminar.html","","The Hot Spots Conjecture","research","ETH Zurich"
"Warning: Hot contents inside","Colloquium","Hausdorff Center for Mathematics Colloquium (Bonn)","2024-10-01","https://www.mathematics.uni-bonn.de/him/programs/current-trimester-program/him-dual-trimester-program-boolean-analysis-in-computer-science","","The Hot Spots Conjecture","research","HCM, Bonn"
